出场,出手,出手_2,出手_4,得分,罚球,盖帽,犯规,后场,篮板,命中,命中_1,命中_3,前场,抢断,球员,三分,时间,首发,投篮,失误,助攻,ATL
3,1.7,0.3,0.7,1.3,100.0%,0.0,1.7,1.7,2.3,0.3,0.0,0.7,0.7,0.3,Dewan Hernandez,0.0%,3.0,0,20.0%,0.3,0.0,TOR
6,1.7,1.0,0.3,2.7,100.0%,0.2,0.5,0.5,0.5,0.8,0.7,0.3,0.0,0.0,姆菲翁杜-卡本盖莱,66.7%,3.8,0,50.0%,0.0,0.0,LAC
4,1.8,0.0,1.0,2.0,50.0%,0.0,1.0,1.8,2.3,0.8,0.0,0.5,0.5,0.3,摩西-布朗,"",3.5,0,42.9%,0.3,0.0,POR
5,1.8,0.8,0.0,1.4,"",0.0,1.2,1.0,1.4,0.6,0.2,0.0,0.4,0.2,斯坦利-约翰逊,25.0%,3.8,0,33.3%,0.8,0.0,TOR
21,10.0,4.7,2.5,13.4,83.0%,0.3,1.8,3.5,4.0,4.8,1.8,2.1,0.5,1.0,诺曼-鲍威尔,37.4%,28.3,11,47.4%,1.4,1.6,TOR
21,10.1,1.8,2.1,12.1,77.8%,0.2,2.1,2.0,2.5,5.0,0.4,1.7,0.5,1.3,马克尔-富尔茨,21.6%,25.5,16,49.8%,1.8,4.0,ORL
23,10.2,3.2,1.3,11.4,83.3%,0.3,1.6,3.0,4.4,4.6,1.2,1.1,1.5,0.9,格伦-罗宾逊三世,38.4%,31.9,23,44.9%,0.9,1.9,GSW
21,10.2,6.2,2.2,12.4,80.9%,0.1,1.9,1.9,2.1,4.2,2.2,1.8,0.3,0.6,蒂姆-哈达威二世,35.4%,24.5,8,40.9%,0.6,1.7,DAL
17,10.3,0.0,2.9,14.5,46.9%,1.9,2.9,10.6,14.9,6.6,0.0,1.4,4.3,1.0,克林特-卡佩拉,"",32.8,17,64.0%,1.7,1.1,HOU
20,10.3,0.2,3.7,13.2,56.2%,0.5,3.5,5.3,6.9,5.6,0.1,2.1,1.6,2.5,本-西蒙斯,33.3%,34.5,20,54.1%,3.9,8.5,PHI
19,10.4,0.0,3.8,15.3,75.3%,2.2,3.0,9.0,12.6,6.2,0.0,2.9,3.6,0.4,哈桑-怀特塞德,"",27.8,19,59.9%,2.1,1.2,POR
11,10.5,2.4,2.7,13.5,83.3%,1.0,2.6,5.1,6.4,5.2,0.8,2.3,1.3,0.5,赛尔吉-伊巴卡,34.6%,22.1,0,49.1%,2.2,1.0,TOR
19,10.7,3.7,2.2,12.6,78.6%,2.7,2.3,5.4,7.3,4.8,1.2,1.7,1.8,1.4,乔纳森-艾萨克,32.4%,30.8,19,45.3%,1.6,1.5,ORL
